rating,look,smell,taste,feel,overall,review,date,id,name
3.6,3.5,3.5,3.75,3.5,3.5,"Poured from a 12oz bottle into glass. Label has Bottled On Date as '14JUN17'. Pale amber colored body. Hard pour resulted in one finger head, off white head. Spots of lacing. Aroma of bready malt and dark fruit (raisins and prunes). Taste of dark malt, and dark fruit. Some butterscotch too, and moderate hop bitterness. Thin to medium mouth feel. Low carbonation. Seems close to style. A stronger ale than the standard pale.",2018-01-14,1157,Honker's Ale
3.93,2.5,4.5,4.0,3.5,3.75,"There was some really nasty yeast sediments. Even, when I did not pour last 2 inches. Anyway, very tasty beer. Malty nose. Fruits, dry fruits. Raisins, cranberries. Malty sweet, chewy. Some dryness in a finish. Too much sparkles on a palate.  Average",2018-01-10,1157,Honker's Ale
4.58,4.5,4.5,4.75,3.75,4.75,"This was an interesting beer, I really enjoy ESB's and this is a very good traditional ESB with just a little more hops than an normal ESB but that doesn't take away from the overall feel and flavor.",2017-10-21,1157,Honker's Ale
3.71,4.0,3.5,3.75,3.75,3.75,"Goose Island Beer Company's Honkers Ale. 4.3% alc. 473ml can. Nice off-white head that dissipates quickly, leaving some nice glass lacing that only gets better as the beer is enjoyed. The colour is copper and the smell is a combination of fruitiness and malt. The taste is predominantly malt flavoured with some subtle hop bitterness. The beer is medium bodied and the finish is dry. This is a really nice product. If you enjoy ales it's worth trying.",2017-09-05,1157,Honker's Ale
3.49,4.0,3.75,3.25,3.5,3.5,"Drunk straight from a 12 oz longneck. Aroma is of sweet caramel malts and warm fruits. Tastes mostly malty sweet, bringing in some fruity hoppiness. Carbonation medium-high, with a fairly light body, clean. Not much aftertaste.",2017-08-23,1157,Honker's Ale
3.39,4.0,3.75,3.0,3.5,3.5,The look is the best part of this beer a clear tea looking beer with almost no head. Nothing stands out in the smell or taste but It is smooth going down. While not a lot of flavor still better than Budweiser but at 4.3% it leaves a lot to be desired.,2017-08-13,1157,Honker's Ale
3.79,3.75,4.0,3.75,3.5,3.75,"355ml bottle poured into a pint glass. Clear copper amber color with a pretty good frothy off-white head that stands for a while before subsiding to some bubble sheet covering the surface and leaving mild lacing on the glass-side. The aroma is so malty providing notes of caramel, toffee, brown sugar, some roasted barley, dough, cereal, and burnt bread. Hop lends its mild fruity note to mingle. The taste is just like the aroma with the harmony of malt ranging from caramel, toffee, brown sugar, some roasted barley, dough, cereal, to burnt bread. Hop brings in some mild fruitiness while there is also some bitterness mostly from roasted malt and partially from hop. The body is medium with semi-smooth mouthfeel and moderate carbonation through the palate. The feeling is quite alright to cater all the things. Finish is rather dry. Sessionable brew with lots of malt in displaying plus with some hop to top it up, an English Bitter that is very true to the style.",2017-07-22,1157,Honker's Ale
4.5,4.5,4.5,4.5,4.5,4.5,Another beer that looks great in a glass. The taste is bready malts and some subtle fruitiness..very tasty and smooth....in my book this is a winner!!,2017-07-10,1157,Honker's Ale
4.09,4.5,3.5,4.25,4.25,4.25,"Look - Pours a clear golden orange color, two fingers of soapy white head, small patches of lacing. Aroma - Honey, apples, graham crackers. Taste - Malty up front, fresh biscuits, hint of butter, slightly sweet honey note, hops provide a bit of an earthy and leafy bitterness. Finishes quite clean with a lingering sweet apple aftertaste. Balanced. Feel - Light to medium body, somewhat slick, fine bubbles. Overall - Great beer. Low in alcohol but complex, balanced and easy to drink.",2017-05-16,1157,Honker's Ale
3.97,3.25,4.25,4.0,3.5,4.0,"Poured from a bottle to a Goose Island goblet A - Amber, no foam S - Sweet, caramel malts and grapefruit hops T - The Grapefruit stays on the palate but not exaggerated M - Carbonation a little bit on the low side O - A good bitter with nice fruity notes",2017-05-01,1157,Honker's Ale
4.13,3.75,4.5,4.0,4.25,4.0,"355 ml bottle, exp. 06/2017, 30 IBU, contains wheat malts. Amber to copper beer, a bit hazy. Earthy hops nose, toasted malts show more on mouth. Nice bitter finish. Flavorful and easily drinkable.",2017-03-11,1157,Honker's Ale
3.5,3.5,3.5,3.5,3.5,3.5,"Poured from a 12 oz bottle into a pint glass L: Clear medium copper brown pour. A finger of thin head... falls quickly. Modest lacing. S: Grains and noble hops. Light and nutty. T/F: Grains/bread. Mild caramel sweetness followed by fairly sharp hop bitterness. Not a lot of distinctive hop character. Medium to thin in body... well carbonated. Finish is clean.  O: It's a bitter, and within the style it's not bad. Easy to drink but not one that I'd reach for terribly often.",2017-03-08,1157,Honker's Ale
3.2,4.5,3.25,3.0,3.5,3.0,"A 12 fl oz bottle, bottled on 18th November 2016 and best before 18th November 2017. Poured into a Mikkeller pint glass. Appearance: A nice clear copper colour with a one finger off white head that slowly dissipates to a nice thin creamy layer while leaving curtain like lacing. Aroma: A bit light, but what I do get was grassy, nutty, sweet malt and hints of toffee. Taste: Toasty biscuit malt, caramel, nuttiness with hints of orange citrus. Mouthfeel: Light bodied with moderate carbonation. Overall: Not my favourite style, but this is easy to drink.",2017-03-08,1157,Honker's Ale
3.9,3.75,3.75,4.0,3.75,4.0,"Goose Island Honkers Ale, 4.3% ABV, 30 IBU. Pours amber and thick, with one finger white head, left little lacing. Nose is nutty and malt, taste is nutty and malty sweetness, very little hop bitterness at the close - surprised others are saying it is too bitter. Good mouthfeel, perhaps a bit heavy on carbonation. Overall very good.",2017-02-22,1157,Honker's Ale
3.0,3.0,3.0,3.0,3.0,3.0,"I'm not going to remember this beer after I'm done drinking it, so it's hard to really judge it beyond ""It's not terrible."" And it isn't—it's got a njfe smoothness to it that makes it easy to drink, but that's kind of all it has.",2017-01-29,1157,Honker's Ale
3.1,3.25,3.25,3.0,3.25,3.0,"Clear copper pour with little or no head. Nutty hop on the nose. Clean, light fruity note and slight bitterness at the end. Overall, a simple ale to enjoy.",2017-01-03,1157,Honker's Ale
3.73,4.75,3.5,3.75,4.0,3.5,This is a good solid beer that looks and smells great. The taste isn't bad and certainly has character. I'm coming to terms with Goose Island and have plenty of respect for the company and its products.,2016-12-29,1157,Honker's Ale
2.83,3.0,3.0,2.75,2.75,2.75,Poured a light chestnut colour with a very small head which died. No lacing. Really can't detect much o the nose. A little bread/biscuit perhaps. Palate is also bland. Some unexpected bitterness right at the end. Over carbonated. Three duds in a row from this brewery.,2016-12-21,1157,Honker's Ale
3.59,4.0,3.75,3.5,3.5,3.5,"A: Clear, amber, thin off white head S: Toasted malt, nutty, toffee, light fruit character T: Caramel malt, light bitterness, toasty, orange marmalade, nutty M: Thin, less body than others of the style O: Good but a little more watery in feel and flavor than other ESB's",2016-12-03,1157,Honker's Ale
3.79,3.75,3.5,4.0,3.75,3.75,This English bitter styled ale pours a vibrant amber/copper with a medium thick creamy head. Aromas of toasty cereal and nuts on the nose; the palate is medium-bodied and offers moderate bitterness with toasted grain and nut flavours balanced by a touch of sweet caramel-like notes followed by a medium finish.,2016-10-27,1157,Honker's Ale
3.09,4.0,3.0,3.0,3.25,3.0,I don't like this beer much. Mostly I taste carbonation and yeast and very little body. I'm planning to suffer through the six pack and maybe try it on draft somewhere just in case I got a bad batch.,2016-10-20,1157,Honker's Ale
4.3,4.5,4.5,4.25,4.0,4.25,"Grand opening at Chili's in Uniontown. First brew that I've had from Goose Island. An not very familiar with English bitters, so this may not be the best review. Anyway, the color is great! Not cask conditioned, but from regular tap conditions. To me. A very drinkable offering!",2016-10-17,1157,Honker's Ale
3.76,3.5,3.75,3.75,4.0,3.75,"Served cool from 330ml bottle into tulip glass. L) Deep amber colour, clear, quickly rising small bubbles. No head, just a bubbly film. S) Light fruity malt. Hints of some IPA-type hops. T) Deep malty flavour, with a definite citrus / orange edge. Finishes with quite a dry flavour. F) Very light body and quite fizzy. Very dry bitterness on the aftertaste. O) A bit of a mish-mash of styles and very light body, but not bad. Give it a try.",2016-10-07,1157,Honker's Ale
3.47,3.5,3.25,3.5,3.75,3.5,"Amber orange color with a thin head. Aroma with notes of mild pine, some caramels and English hops. Flavor with notes of caramels, earthy and spicy hops, mild ginger, slightly toasted malts, tea and some yellow fruit citrusy. Dry aftertaste with a medium but persistent bitterness. Light body with appropriate carbonation of tiny bubbles. Pleasant English Bitter, perfectly balanced and very easy to drink. I could have a few in a blink.",2016-09-09,1157,Honker's Ale
3.3,3.5,3.5,3.0,3.5,3.5,"The IBU is a bit too much for me, but overall a nice beer to drink with friends. Got it recently on february 04, 2017,and my taste for hop have change a lot. I can now appreciate a nice hop beer. This one you can definitely see the difference with the other one. The hop is really more fruity than any other intensively hop beers.",2016-09-02,1157,Honker's Ale
3.75,3.75,3.75,3.75,3.75,3.75,"Bought 6-pack $7.77 Don Quiojte Light amber color Medium-light mouth feel Medium carbonation Malt flavor with some hops, slight bitter finish Overall a good beer, especially for its low alcohol.",2016-08-26,1157,Honker's Ale
3.62,3.75,3.5,3.75,3.5,3.5,"Copper to light brown appearance, 1/2"" off white head. A fractional amount of lace on the glass. Aroma hits with those light balsa wood notes, and a very slight amount of hops. Taste really hits its stride as America meets ESB. Hops are there, plenty of bready malt feels, earthy. Lots of flavor in a low abv beer. I enjoy this one.",2016-08-22,1157,Honker's Ale
3.92,4.0,3.75,4.0,3.75,4.0,"Updated! I had this beer again and figured to revisit my review now that I got a better grasp of the scoring system. Right off the bat you're treated to an appealing deep amber color with generous cream to top it off. Really nice, rich, and honey-like smooth taste and feel accompanied with malt and hop flavors. More caramel/earthy aromas than fruit. Strong bitter after taste which I like. An enjoyable beer.",2016-08-14,1157,Honker's Ale
3.89,4.5,4.25,3.5,4.0,4.0,"This is the american take on the classic ESB style. Here we got a great hop citric bouquet, like a IPA, but the flavor is a classic ESB, with a full malted body. The hop here makes this beer more refreshing than its english cousins and with a better smell. Overall it is exactly what you would expect from a american ESB. I would like to see a more radical take on this style, with more hops, but mantaining the classic malted character of a english beer.",2016-08-03,1157,Honker's Ale
4.06,4.25,3.75,4.0,4.5,4.25,A-Copper color with a great head and excellent lacing.  S-Strong malt front with yeast. Not sure if I get the fruity hop aroma like the bottle says.  T-Sweet wheat malts and mild spicy hops that compliment each other very well.  M-Smooth but crisp texture that goes down easily.  O-Great all around beer. This is my first English Bitter and I look forward to trying more like it.,2016-06-21,1157,Honker's Ale
3.81,4.75,3.0,4.0,4.0,4.0,Beautiful color; almost a brown. Subtle smell. The taste is similar to a brown without quite the same intensity to the sweet malt. I really like it. Acceptable to Stacey's palate.,2016-06-10,1157,Honker's Ale
3.83,3.75,4.5,3.5,3.75,3.75,"Look: beautiful amber color, transparent, without sediments; good foam formation with low/moderate persistence; Smell: imposing and pretty good smell, yeasted and fruited hopped, floral notes; Taste: little bitter, persistent aftertaste with pepper/spicy and honey notes, balanced alcohol; Feel: low carbonation; soft and light English Bitter Ale; Overall: a great beer with nice drinkability 3,5+/5+. Obs: beautiful bottlecap.",2016-05-25,1157,Honker's Ale
4.48,4.0,4.75,4.75,3.5,4.25,"Was my favorite beer for over a decade and lost it's place on the palate's top choice a year before it was purchased by Inbev. Within 3 years of the sell it was difficult to find. 12 packs disappeared ages ago. I still consider it one of the best sessionable and lower calorie beer choices. I actually prefer to age it a bit. 2-3 years at a slowly up and down temperature level in my basement in a dead freezer. Aging used to be incouraged on the Christmas Ale at the time which was always just an ESB version of Honkers Ale. The aging turns into a more lovable beer. Poured from a bottle a golden brown color, good carbonation and 3/4"" head. Aroma- sweet malt and fruity. Taste- malt forward, hops on the subtile on the back end. Feel- smooth but nothing special a slight dry feel. Overall the lack of beers in the local area and nation as a whole ignoring this style is alarming.",2016-05-19,1157,Honker's Ale
3.9,3.25,3.75,4.0,4.0,4.0,"Appearance: Clear light gold, white cap and good lacing. Aroma: Something light yeast bread about it, a bit of hops. Taste: Good flavor for a low ABV brew, tasty, caramely malty, not a whole lot but what's there counts. Malt carries with hops riding along. The darker malts used have a touch more roastiness than I would choose for this type beer. The roast bitterness carries through the finish leaving a slightly bitter aftertaste. Or that could be hops as well but the bitter note is off putting. Texture: Medium body, good heft to it.  Overall: Good example of what can be done with a mild brew. If I were calorie counting this would certainly be on the list.",2016-05-12,1157,Honker's Ale
3.68,4.0,3.5,3.75,4.0,3.5,"On tap at GI in O'Hare Airport. Clear, coppery color and a decent off-white head. Some hops on the nose but more a faint yeasty/bready aroma. The taste is bitter at first but the caramelly malts quickly sweeten it up. Very well balanced malt-to hops and a nice, fruity ale taste. Very full-flavored for such a modest ABV. We were on our way to London and in the days following, I had a few better but many worse. Good effort from Goose Island.",2016-05-04,1157,Honker's Ale
3.17,3.75,3.0,3.25,3.25,3.0,"Clear copper with a big, lightweight off-white head that never gives up the fight. Not much aroma wafts off this foam, with some floral, crisp lager-like notes faintly present, and some banana sugar as it warms. It might sound heavy, but some nutty, caramel notes are refreshing and light, with a little raisin and light roast coffee supporting them. Bready and toasty qualities are present as well. Dry finish, bitter, yet sweet.",2016-05-03,1157,Honker's Ale
3.5,3.5,3.5,3.5,3.5,3.5,"Goose Island Honker's Ale Look: Amber golden color. Medium carbonation Smell: Very Malty Taste: Lots of malt, goes down really easily. For a 4,3% beer this has a lots of flavor Feel: Goes down really easily, super drinkable  Overeall would I recommend it ? Sure, you wanna drink a light beer this is the one to go, much better than coors light bud light and miller light",2016-05-01,1157,Honker's Ale
3.81,3.75,4.0,3.75,3.25,4.0,"We know that a commercial success is not always a great beer. Hence, Honker's. To me, Honker's is one of the handful of success stories in evolving craft brewing so that it could reach larger markets. Selling itself now as ""fruity hop aroma"" (I find it pleasant) and ""malty middle"" (I agree a bit less), this remains a very adequate session beer ... if there are not a dozen alternatives. To me, the hops come on too strong, particularly drying in the after-taste... but the market tends to like that. (Give me a tad more sweet malt, but I also know I'm an outlier on Honker's marketing curve.) Reviewed in Roger Protz' ""300 Beers To Try Before You Die!"" and written before the AB purchase was fait accompli.",2016-04-27,1157,Honker's Ale
3.57,3.0,3.5,3.75,3.5,3.5,"L: Red/Gold copper color. Average head that fades into a constant layer of bubbles. S: Fruity hop smell (a little grapefruit) with smooth caramelized sugar malt aroma. A tiny beet of yeast smell upon pour, but nothing unplesant. T: Rich malty flavor that dries into a caramel note. Fruity flavors also present, but dominated by the malt. F: Light carbonation that fades quikly to leaves a sugary taste with a bit of biterness. O: Nice, easy to drink, beer that has a dominant malt flavor. Color is little ordinary, but it seems more golden under certain ligh condition. Could have been a bit more carbonated for a richer mouthfeel.",2016-04-20,1157,Honker's Ale
3.94,4.0,3.75,4.0,4.0,4.0,"Pours a golden color, with a nice malt and hop blend of flavors. Taste is very smooth and strong - this is good tasting ale. The body is medium, and drinkability is excellent. Good beer with a meal.",2016-03-26,1157,Honker's Ale
3.75,3.75,3.75,3.75,3.75,3.75,"Pours clear copper color with a 1-2 finger foamy beige colored head that faded slowly and left decent spotty lacing. Smells of toasted grains, light yeast, floral hops, caramel, light lemon zest and cardboard. Earthy notes come out along with some citrus and blend in well with the malt base. Smells nice but very basic and nothing really jumps out - it's a very even smelling brew with equal parts hops and malts. Tastes very much like it smells with sweet malt, caramel, toasted grains, yeast, floral hops, lemon zest, tea leaf, a little grapefruit bunch of earthy notes. Some more pronounced fruity flavors come out but can't get past the malt base, so like the aroma it's a very even tasting with equal parts hops and just a little stronger malt sweetness. Mouthfeel is light and almost smooth, with mild carbonation, a hint of bitterness and a malty/grainy sweetness that trails off with toffee or caramel and a semi-dry feel. Overall it's a good basic beer and seems to fit the English Bitter style quite well.",2016-03-26,1157,Honker's Ale
3.94,4.0,3.75,4.0,4.0,4.0,"First review: L = Nice clear amber S = You can smell the hops up front, but the malt comes through nicely. T = Enough malt to balance out the hops. Very nice especially since I am not such a hop fan. I liked this one a lot. F = Pretty dry. Not too much of an aftertaste. Should go well with a meal.",2016-03-21,1157,Honker's Ale
3.65,3.75,3.75,3.5,3.75,3.75,"Clear copper color with a bit of beige head. Aroma has some sweet malts, honey and sweet orange. Taste starts really balanced, malty, fruity with a touch of caramel. It gets bitter towards the finish making for an overall really balanced taste profile. Medium body with crisp carbonation. Quite tasty for the low ABV but also very drinkable.",2016-03-09,1157,Honker's Ale
4.43,4.25,4.25,4.5,4.5,4.5,"For a straight up ale, this is a winner through &amp; through. Superb taste, tingle and depth. My personal preference with this one... the colder the better. Tried on tap @ Sociable in Brantford ON.",2016-02-25,1157,Honker's Ale
3.89,4.25,4.0,4.0,3.25,3.75,"Bought on clearance at target (A six pack for 4 bucks!) Bottle date of aug 2015. Appearance: Nice amber color. Lacing isn't too serious but that's ok. Aroma: Hops hit the nose rather hard. Some malty-sweetness comes through but I mostly get hops. Taste: This is where I was pleasantly surprised. Malty sweetness hits the tongue, balanced out rather well with the bitterness of the hops. But not too bitter at 30 IBU's. Biscuity, caramel-y.  Mouthfeel: The maltiness is great when it's in your mouth, but leaves kind of dry for me. This is kind of a bummer because I enjoy the maltiness sticking around a bit. Moderate carbonation, obviously not too watery.  Overall: Better than expected. If it was on tap, I'd definitely give it a shot. It could be improved greatly by reducing the dryness in my opinion.",2016-02-19,1157,Honker's Ale
2.83,3.0,3.0,2.75,2.75,2.75,"On tap while going through Chicago. Clear dark amber with small off white head. Aroma is subdued due to very cold serving temps. Taste is nutty, caramel , toffee . No finish.",2016-02-01,1157,Honker's Ale
3.9,4.25,3.0,4.25,4.25,4.0,"Served in a nonic pint, it pours a dark, golden orange, clear. A one-inch nice slightly tanned head with very good retention, that fades out leaving a thin layer of foam.  Not very aromatic, but you get malty tones and a little bit of citric, herbal hoppiness, caramel, and hints of diacetyl.  The taste is bitter upfront, but quickly the malty sweetness comes in to balance the flavor. Caramel, and a little bit herbal/spicy. The aftertaste holds a mix of both bitterness and sweetness.  Overall this is a very nice beer, you should give it a try.",2016-02-01,1157,Honker's Ale
3.69,4.5,3.5,3.5,3.75,4.0,"Sweet, fruity beer with enough hops and malt to keep it interesting. Just an English bitter should be. And pretty. A lovely copper with lots of lacing. Mary Lou likes the aftertaste better than most beers. Had it on tap at Bogey's in Venice.",2016-01-20,1157,Honker's Ale
3.92,3.25,3.0,4.5,4.0,4.0,"Mad decent macro spin on a trad English bitter. Pours fresh from the can. What my GF calls the ""Goosy"" Hop (as in particular to GI brews) leads to a full on malt bomb finish in yer mouth. Gotta say -- Pleasantly Surprised",2016-01-18,1157,Honker's Ale
4.27,4.0,4.5,4.25,4.0,4.25,"Pours deep copper with a slightly tanned foam head, filtered. Aroma is of malts, caramel, some molasses and very little earthy hops. Taste is clean, refreshing, malty and slightly bitter, no hops. Nice beer.",2016-01-16,1157,Honker's Ale
4.25,4.25,4.25,4.25,4.25,4.25,"L: An extremely clear deep amber color. One finger of creamy looking dense head. Lacing was okay. Retention was great. S: Mild nose of slightly floral hops, mild bready yeastiness, faint touch of caramel. T: The epitome of balance. The malt is sweet and reminiscent of caramel and fresh bread. The hops come through to tie everything together and are floral and spicey. Maybe a bit of citrus as well. Fairly clean and ester profile is minimal. Pleasantly sweet. F: Carbonation seems to be on the lower end, which would be appropriate given that it's an English style. Body is creamy and moderately thick. It's not too filling, however. O: a really great session beer. While it's easy drinking, it still has enough complexity to keep me wanting to comeback for more. Highly recommend to someone who believes Americans can't make great English styles!",2016-01-02,1157,Honker's Ale
4.31,4.0,4.25,4.5,4.0,4.25,"Very satisfying, sessional beer, a good example of an English bitter with caramel, light toffee balanced by a slight hop. Not enough of this style here and this is a go to when I desire a bitter.",2015-12-29,1157,Honker's Ale
3.96,3.5,3.75,4.0,4.5,4.0,"The bottled on date has been smudged off, but it's relatively new stock from the store I go to. Poured into a pub glass on 12/18/15 (that's warm season here in Florida). First English Bitter ever, so here goes! Look: Copper color, smallish head.  Smell: Freshly baked light bread--like the kind you dip in soup. Malty, wheaty, tiniest bit of herbs. Someone on here said ""figs""--I believe you, but I'll have to train my nose for that one. Taste: Upfront is the malt and wheatiness from the nose. Very mild--the hops make a pretty casual appearance near the end. Feel: Low carbonation done right. To me, the mouthfeel pulls together the flavors very well. You gulp one sip down and let your mouth water for sec.",2015-12-18,1157,Honker's Ale
3.52,3.75,3.5,3.5,3.5,3.5,"12 ounce bottle poured into a pint glass A: Pours a honey orange with a white head, no head retention, slight lacing, lots of carbonation, beer is clear, looks very thin. A: Biscuits, bread, malts, slight caramel, not getting any hop notes at all, smells like a lager.  T: Like the nose, it's biscuits, bread, malts, hint of hops at the front, quickly fades into the other notes, it's definitely easy to drink, aftertaste is of biscuits, bread, slight honey, it's okay. M: Light bodied, dry finish. O: I did not really want to like this beer because it's owned by AB but it's good, missing some hop notes but the bottle is six months old, it's very easy to drink, balanced, not popping with flavor, a middle of the road beer to me, doesn't impress but doesn't disappoint.",2015-12-18,1157,Honker's Ale
3.55,3.0,3.5,3.75,2.75,3.75,"Poured from a 12oz bottle (bottled on 03Jun15) into a nonic pint glass. Consumed on 12Nov15. LOOK: Pours with a half finger's worth of white foam that shrivels down into a line after 35 seconds. Copper in color. Rising bubbles are small in size and so scare in quantity, that I can easily count them as they rise. There is an abundance of tiny white particles floating around in the brew. Lacing is thin and very subtle. SMELL: Mild aromas of biscuits and caramel meet with subtle aromas of toasted malts, plums, figs, raisins, pale malts and earthy hops along with hints of bitter hops. TASTE: Mild biscuits and caramel flavors enter initially and are immediately followed by subtle bitter hop flavors. Mild flavors of toasted malts, plums, raisins, figs, and floral hops (didn't detect those in the smell) enter next. Earthy hops enter lastly as all previous flavors persist except for bitter hop flavors, which grow to mild. FEEL: Medium-bodied and highly carbonated. Goes down rough. Finishes with a moderate dryness. NOTE: This is very drinkable. Not the best thing out there, but not the worst. I wouldn't mind cracking open a 6 pack while hanging out with friends.",2015-11-13,1157,Honker's Ale
4.1,4.0,4.0,4.25,4.0,4.0,Poured from a 12 OZ bottle into a pint glass. Appearance- a crystal clear light copper color with a medium white head. Aroma- full of malt with some fruit in the background. Taste- a really good blend of caramel and malt with hops giving it a nice full flavor. Another really good offering from Goose Island.,2015-11-01,1157,Honker's Ale
3.47,3.75,3.5,3.5,3.0,3.5,"Pours a nice amber body with an off-white head from a 473mL can. The scent is moderately strong in citrus hops with a slight sugary sweetness that I can't quite place. The taste then follows with complete contrast, having some bready tones, some whiskey notes, a few smokey flairs and complete absence of the original citrus scent. The feel is fairly smooth, but honestly I'm too caught off guard by the taste to really notice it, and if anything it is a bit too light in finishing for a bitter. Overall enjoyable, but not exactly something I'd spring for on a regular basis.",2015-11-01,1157,Honker's Ale
3.71,3.0,3.25,4.0,4.0,3.75,"Hazy amber color with floating detritus and a low amount of activity. Weak white half a finger head that lasts no more than 5 minutes, with moderate amount of legs. Aromas of caramel, butterscotch, and bread. Flavors of sweet grains, lemon, caramel, ginger, herbal and floral spices. Bready, roasted and grassy feel. Pleasant sweetness with a nice sharp feel. Smooth medium to full body with a perfect amount of zesty carbonation. Light to medium strength finish of short length, ending with a sweet smoky caramel feel and faint grassy noble spices. Overall good quality craft. Tasty flavors that are well balanced. Good freshness and nicely bodied.",2015-10-28,1157,Honker's Ale
